﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10007163","The University of Warwick","15,830","155","395","90","35","16,500","2,700","6,880","9,580","0","26,080"
"10007361","Waverley Abbey College","165","0","0","0","0","165","0","0","5","0","170"
"10007164","University of the West of England, Bristol","23,030","70","2,365","105","35","25,610","1,040","2,910","3,950","0","29,555"
"10007800","The University of the West of Scotland","610","14,370","10","40","5","15,040","620","1,365","1,985","0","17,025"
"10032288","West Dean College","45","0","0","0","0","50","10","20","30","0","80"
"10006566","The University of West London","8,905","35","85","70","5","9,100","1,240","720","1,960","0","11,055"
"10007165","The University of Westminster","12,320","30","65","20","5","12,440","2,215","4,225","6,445","0","18,885"
"10003614","The University of Winchester","7,115","15","75","30","90","7,325","120","320","445","0","7,770"
"10023290","West London College of Business and Management Sciences Limited","180","0","0","0","0","180","0","0","0","0","180"
"10007166","The University of Wolverhampton","17,860","50","130","35","5","18,080","225","615","845","0","18,925"
"10007139","University of Worcester","9,015","20","360","30","10","9,435","430","210","640","0","10,075"
"10007833","Wrexham University","1,160","0","3,845","15","0","5,020","805","65","870","0","5,895"
"10007657","Writtle University College","665","5","5","15","0","690","25","35","60","0","750"
"10007713","York St John University","6,140","30","55","40","5","6,265","65","285","350","0","6,620"
"10007167","The University of York","14,715","150","270","85","60","15,280","845","3,345","4,185","0","19,470"
"","Total","1,617,000","173,855","101,865","63,710","4,440","1,960,865","146,725","349,590","496,315","70","2,457,250"
